,,,,,,,,,,,,,
,60NJune,30NJune,0 June,30SJune,60SJune,90SJune,90NDec,60NDec,30NDec,0 Dec,30SDec,60SDec,90SDec
0,475.95,473.93,384.08,212.28,22.76,0,0,24.36,227.13,410.94,507.07,509.24,559.89
1,476.99,473.77,383.21,211.13,22.09,0,0,23.69,226.49,411.09,508.24,511.7,563.5
2,479.55,475.14,383.58,210.69,21.5,0,0,22.98,225.17,409.95,507.81,512.51,565.27
3,483.54,477.99,385.18,210.95,21.01,0,0,22.23,223.22,407.6,505.8,511.68,565.16
4,488.77,482.12,387.87,211.84,20.63,0,0,21.5,220.76,404.19,502.41,509.34,563.31
5,494.88,487.23,391.4,213.26,20.35,0,0,20.79,217.96,400.03,497.97,505.79,560.03
6,501.44,492.9,395.46,215.03,20.16,0,0,20.16,215.03,395.46,492.9,501.44,555.73
7,507.93,498.66,399.69,216.99,20.06,0,0,19.62,212.2,390.88,487.66,496.73,550.92
8,513.81,503.99,403.7,218.92,20.05,0,0,19.2,209.69,386.68,482.75,492.15,546.11
9,518.58,508.44,407.12,220.65,20.1,0,0,18.92,207.69,383.22,478.59,488.13,541.79
10,521.8,511.6,409.65,222.02,20.23,0,0,18.8,206.37,380.78,475.55,485.03,538.35
11,523.16,513.16,411.04,222.9,20.41,0,0,18.85,205.84,379.58,473.89,483.12,536.09
12,522.5,512.98,411.18,223.24,20.65,0,0,19.07,206.16,379.73,473.74,482.53,535.16
13,519.85,511.06,410.07,223.01,20.94,0,0,19.46,207.32,381.21,475.09,483.26,535.55
14,515.37,507.55,407.82,222.28,21.28,0,0,20.03,209.27,383.94,477.83,485.19,537.12
15,509.39,502.75,404.63,221.16,21.66,0,0,20.76,211.9,387.69,481.7,488.07,539.61
16,502.37,497.05,400.83,219.77,22.1,0,0,21.62,215.04,392.2,486.35,491.55,542.63
17,494.81,490.94,396.76,218.3,22.59,0,0,22.61,218.49,397.1,491.36,495.24,545.74
18,487.24,484.89,392.79,216.94,23.13,0,0,23.68,222.03,402.01,496.28,498.69,548.49
19,480.18,479.38,389.28,215.85,23.74,0,0,24.79,225.42,406.54,500.64,501.48,550.44
20,474.08,474.82,386.54,215.19,24.4,0,0,25.9,228.44,410.33,504.04,503.26,551.21
21,469.28,471.52,384.81,215.08,25.12,0,0,26.96,230.89,413.08,506.17,503.76,550.56
22,466.01,469.69,384.24,215.59,25.88,0,0,27.93,232.62,414.6,506.81,502.84,548.38
23,464.38,469.41,384.87,216.71,26.69,0,0,28.76,233.57,414.81,505.93,500.51,544.72
24,464.36,470.63,386.64,218.41,27.5,0,0,29.43,233.71,413.74,503.6,496.9,539.79
25,465.83,473.17,389.41,220.57,28.31,0,0,29.91,233.1,411.54,500.06,492.3,533.92
26,468.53,476.77,392.92,223.04,29.05,0,0,30.2,231.86,408.46,495.63,487.06,527.54
27,472.15,481.09,396.87,225.64,29.7,0,0,30.3,230.16,404.81,490.72,481.6,521.12
28,476.34,485.73,400.93,228.16,30.22,0,0,30.22,228.16,400.93,485.73,476.35,515.14
29,480.75,490.31,404.77,230.39,30.56,0,0,29.98,226.05,397.15,481.08,471.7,510.05
30,485.02,494.47,408.07,232.16,30.69,0,0,29.62,224.01,393.75,477.11,468,506.2
31,488.89,497.92,410.61,233.33,30.6,0,0,29.14,222.17,390.97,474.1,465.5,503.87
32,492.13,500.45,412.22,233.81,30.29,0,0,28.58,220.61,388.95,472.21,464.35,503.19
33,494.63,501.97,412.82,233.57,29.75,0,0,27.94,219.4,387.77,471.51,464.61,504.22
34,496.33,502.45,412.43,232.65,29.02,0,0,27.26,218.54,387.42,471.98,466.23,506.89
35,497.27,501.97,411.13,231.11,28.12,0,0,26.53,218.02,387.84,473.54,469.1,511.04
36,497.53,500.66,409.06,229.06,27.11,0,0,25.78,217.78,388.92,476.01,473.04,516.45
37,497.24,498.69,406.4,226.63,26.02,0,0,25,217.78,390.52,479.2,477.81,522.85
38,496.53,496.27,403.35,223.97,24.9,0,0,24.23,217.94,392.48,482.9,483.16,529.93
39,495.56,493.58,400.09,221.2,23.78,0,0,23.46,218.2,394.65,486.88,488.83,537.37
40,494.47,490.82,396.8,218.45,22.7,0,0,22.71,218.5,396.89,490.93,494.58,544.87
41,493.36,488.13,393.63,215.82,21.7,0,0,22,218.8,399.06,494.86,500.16,552.14
42,492.35,485.67,390.73,213.41,20.79,0,0,21.34,219.05,401.06,498.5,505.36,558.91
43,491.51,483.53,388.19,211.29,19.98,0,0,20.74,219.24,402.78,501.71,510,564.95
44,490.92,481.81,386.1,209.52,19.31,0,0,20.21,219.33,404.17,504.36,513.9,570.06
45,490.63,480.59,384.54,208.16,18.76,0,0,19.77,219.32,405.15,506.36,516.94,574.08
46,490.69,479.92,383.55,207.22,18.36,0,0,19.42,219.18,405.69,507.63,519.01,576.88
