Table S2.,,,
Dongge Cave stalagmite D4 Oxygen Isotope Data,,,
Years,delta,18O,(VPDB)
,-16.5,-7.9,
,1.7,-8.06,
,20,-7.98,
,38.2,-7.9,
,56.5,-7.73,
,91.3,-7.84,
,93,-7.94,
,94.7,-8.02,
,96.5,-7.83,
,98.2,-7.85,
,99.9,-8.05,
,101.6,-7.86,
,103.4,-8.15,
,105.1,-8.21,
,106.8,-8.08,
,108.6,-8.03,
,110.3,-7.98,
,112,-7.91,
,113.8,-7.66,
,115.5,-7.7,
,117.2,-7.85,
,119,-7.86,
,120.7,-7.86,
,122.4,-7.84,
,124.1,-7.94,
,125.9,-7.59,
,127.6,-7.78,
,129.3,-7.96,
,131.1,-7.95,
,132.8,-8.1,
,134.5,-7.99,
,136.3,-7.68,
,138,-7.88,
,139.7,-7.75,
,141.5,-7.86,
,143.2,-7.96,
,144.9,-8.36,
,146.6,-8.08,
,148.4,-7.66,
,150.1,-7.98,
,151.8,-7.97,
,155.3,-7.71,
,158.8,-7.75,
,165.7,-7.79,
,169.1,-8.18,
,172.6,-8.08,
,176.1,-7.88,
,179.5,-8.44,
,183,-8.04,
,187,-8.17,
,191,-8.29,
,195,-7.97,
,199,-7.85,
,203,-7.78,
,207,-7.72,
,211,-7.78,
,215,-8.09,
,219,-8.01,
,223,-8.05,
,227,-7.85,
,231,-8.12,
,235,-7.9,
,239,-8.03,
,243,-8,
,247,-7.98,
,251,-8.12,
,255,-8.05,
,259,-7.99,
,263,-8.1,
,267,-8.03,
,271,-7.72,
,275,-7.83,
,279,-7.63,
,283,-7.86,
,287,-7.93,
,291,-8.04,
,295,-7.93,
,299,-8.09,
,303,-7.89,
,307,-8,
,311,-7.96,
,315,-7.96,
,319,-7.57,
,323,-7.75,
,327,-7.9,
,331,-7.8,
,335,-7.73,
,339,-7.76,
,343,-7.75,
,347,-7.37,
,351,-7.63,
,355,-7.73,
,359,-7.24,
,363,-7.47,
,367,-7.69,
,371,-7.86,
,375,-7.82,
,379,-7.84,
,383,-7.7,
,387,-7.92,
,391,-8.01,
,403.2,-7.38,
,415.3,-7.62,
,427.5,-7.65,
,439.7,-7.53,
,451.8,-7.62,
,464,-7.46,
,476.2,-7.74,
,488.3,-7.52,
,500.5,-7.72,
,512.6,-7.57,
,524.8,-7.58,
,537,-7.75,
,549.1,-7.59,
,561.3,-8.04,
,573.5,-7.9,
,585.6,-7.93,
,610,-7.9,
,634.3,-7.97,
,646.4,-7.79,
,658.6,-8.04,
,670.8,-7.68,
,682.9,-7.78,
,695.1,-7.13,
,707.3,-7.94,
,731.6,-7.6,
,792.4,-7.06,
,853.2,-7.53,
,914,-7.61,
,958.5,-7.77,
,1003,-7.56,
,1023.8,-7.45,
,1044.6,-7.21,
,1065.4,-7.46,
,1086.1,-7.56,
,1106.9,-7.91,
,1127.7,-7.73,
,1148.5,-7.61,
,1169.3,-7.74,
,1190.1,-7.48,
,1210.9,-7.74,
,1231.6,-7.63,
,1252.4,-7.4,
,1273.2,-7.73,
,1294,-7.31,
,1327.6,-7.54,
,1361.3,-7.77,
,1394.9,-7.71,
,1428.6,-7.69,
,1494.3,-7.54,
,1581.6,-7.69,
,1668.9,-7.6,
,1756.2,-7.28,
,1843.5,-7.78,
,2070.4,-6.93,
,2088,-7.61,
,2107.6,-7.36,
,2127.2,-7.35,
,2146.8,-7.19,
,2166.4,-7.28,
,2186,-7.14,
,2205.6,-7.34,
,2225.2,-7.75,
,2244.8,-7.61,
,2264.3,-7.4,
,2283.9,-7.76,
,2303.5,-7.71,
,2323.1,-7.66,
,2342.7,-7.66,
,2362.3,-7.56,
,2381.9,-7.6,
,2401.5,-7.21,
,2421.1,-7,
,2440.7,-8.11,
,2460.3,-6.76,
,2479.8,-6.75,
,2499.4,-6.64,
,2519,-6.75,
,2524.1,-6.96,
,2529.3,-6.69,
,2534.4,-6.72,
,2539.5,-6.71,
,2544.7,-7.26,
,2549.8,-7.36,
,2555,-7.35,
,2560.1,-7.46,
,2565.3,-7.6,
,2570.4,-7.25,
,2575.5,-7.37,
,2580.7,-7.76,
,2585.8,-7.8,
,2591,-7.53,
,2596.1,-7.35,
,2601.3,-7.37,
,2606.4,-8.32,
,2611.5,-7.39,
,2616.7,-7.67,
,2621.8,-7.86,
,2627.1,-7.79,
,2652.8,-7.49,
,2678.5,-7.67,
,2704.2,-7.42,
,2729.9,-6.88,
,2755.6,-6.7,
,2781.2,-7.36,
,2832.6,-7.83,
,2896.9,-7.91,
,2961.1,-7.39,
,3025.4,-7.41,
,3089.6,-7.12,
,3153.8,-7.23,
,3217.6,-7.44,
,3330.4,-7.28,
,3443.2,-7.45,
,3556,-8.59,
,3631.2,-8.27,
,3649.2,-8.1,
,3667.2,-7.74,
,3685.2,-7.85,
,3703.2,-7.73,
