Mean Depth ,Gravity/solubility corrected,mean total air,ice age,gas age,,Ca2+,CH4xs corrected,Bottom Depth,Mean Depth 
1822.86,497.5415684,0.093305189,15653.54399,14682.38457,,141.47,492.6519273,1822.91,1157.780964
1822.86,498.6613447,0.092516215,15653.54399,14682.38457,,141.47,493.7300049,1822.91,1158.320002
1823.55,519.3669721,0.09211,15686.81869,14709.41337,,212.89,511.913412,1823.6,1167.756706
1823.55,503.9746761,0.09194,15686.81869,14709.41337,,212.89,496.5069453,1823.6,1160.053473
1824.05,507.3388861,0.09341,15710.9308,14728.99946,,192.73,500.6850613,1824.1,1162.392531
1824.05,503.261385,0.09214,15710.9308,14728.99946,,192.73,496.5160458,1824.1,1160.308023
1825.45,501.2662185,0.09357,15778.44469,14783.8405,,201.47,494.3226513,1825.5,1159.911326
1825.45,496.8461266,0.09318,15778.44469,14783.8405,,201.47,489.8732113,1825.5,1157.686606
1825.7,507.1596991,0.092832688,15790.50074,14793.63354,,181.93,500.8396301,1825.75,1163.294815
1825.7,507.1712274,0.092823685,15790.50074,14793.63354,,181.93,500.8505454,1825.75,1163.300273
1826.17,524.4969362,0.09391,15813.16612,14812.04446,,153.2,519.2362094,1826.22,1172.728105
1826.17,493.6535447,0.09356,15813.16612,14812.04446,,153.2,488.3729479,1826.22,1157.296474
1827.15,491.1183249,0.09249,15860.46732,14850.39312,,193,484.3886608,1827.2,1155.79433
1827.15,486.9537651,0.09347,15860.46732,14850.39312,,193,480.2949095,1827.2,1153.747455
1828.15,497.5990156,0.09168,15910.83546,14887.49353,,201.21,490.5211029,1828.2,1159.360551
1828.15,502.452332,0.09252,15910.83546,14887.49353,,201.21,495.4391144,1828.2,1161.819557
1829.47,494.2715569,0.09248,15977.34759,14936.44078,,226.49,486.3737193,1829.52,1157.94686
1829.47,491.2286832,0.09318,15977.34759,14936.44078,,226.49,483.3900329,1829.52,1156.455016
1829.57,491.3387967,0.092842715,15982.38639,14940.14891,,226.49,483.4716069,1829.62,1156.545803
1829.57,491.0633157,0.092692891,15982.38639,14940.14891,,226.49,483.1834098,1829.62,1156.401705
1831.05,487.2746551,0.09313,16056.9606,14995.02916,,251.17,478.5773657,1831.1,1154.838683
1831.05,488.1581444,0.09358,16056.9606,14995.02916,,251.17,479.5023965,1831.1,1155.301198
1832.17,504.9028485,0.09179,16113.37195,15037.07369,,207.3,497.6197607,1832.22,1164.91988
1832.17,480.2442338,0.09141,16113.37195,15037.07369,,207.3,472.9309992,1832.22,1152.5755
1833.19,489.3210111,0.09109,16164.12618,15089.10426,,170.95,483.2687342,1833.24,1158.254367
1833.19,486.3096895,0.09135,16164.12618,15089.10426,,170.95,480.2745748,1833.24,1156.757287
