num.,Location,(degree),(ka),(m),type,num.
1,Tahiti,-17.45,210.45,7.21,-0.5,5.1
2,Tahiti,-17.45,210.45,7.67,-4.1,5.1
3,Tahiti,-17.45,210.45,7.78,-5.6,5.1
4,Tahiti,-17.45,210.45,8.58,-18.8,5.1
5,Tahiti,-17.45,210.45,8.79,-14.5,5.1
6,Tahiti,-17.45,210.45,9.33,-22.8,5.1
7,Tahiti,-17.45,210.45,9.6,-25.1,5.1
8,Tahiti,-17.45,210.45,9.88,-27.8,5.2
9,Tahiti,-17.45,210.45,9.98,-30.1,5.2
10,Tahiti,-17.45,210.45,10.18,-36.5,5.2
11,Tahiti,-17.45,210.45,10.29,-34.4,5.2
12,Tahiti,-17.45,210.45,10.31,-34.5,5.2
13,Tahiti,-17.45,210.45,10.64,-42.3,5.2
14,Tahiti,-17.45,210.45,11.09,-43.3,5.2
15,Tahiti,-17.45,210.45,11.35,-51.3,5.2
16,Tahiti,-17.45,210.45,11.56,-57.3,5.2
17,Tahiti,-17.45,210.45,12,-52.5,10.1
18,Tahiti,-17.45,210.45,12.77,-60.4,10.1
19,Tahiti,-17.45,210.45,12.78,-61,10.1
20,Tahiti,-17.45,210.45,12.94,-61.5,10.1
21,Tahiti,-17.45,210.45,12.95,-63.9,5.3
22,Tahiti,-17.45,210.45,12.98,-63,10.1
23,Tahiti,-17.45,210.45,13.14,-64.1,10.1
24,Tahiti,-17.45,210.45,13.6,-67.1,10.1
25,Tahiti,-17.45,210.45,13.84,-70,5.3
26,Tahiti,-17.45,210.45,14.3,-83.2,5.3
27,Tahiti,-17.45,210.45,14.35,-98.6,5.3
28,Tahiti,-17.45,210.45,14.52,-94.2,10.2
29,Tahiti,-17.45,210.45,14.64,-100.2,5.3
30,Tahiti,-17.45,210.45,14.99,-99.2,10.2
31,Tahiti,-17.45,210.45,15.15,-102.2,10.2
32,Tahiti,-17.45,210.45,15.18,-103.1,10.2
33,Tahiti,-17.45,210.45,15.51,-105.5,10.2
34,Tahiti,-17.45,210.45,16.02,-112,5.4
35,Kiritimati,1.98,202.52,0.09,-0.1,0.1
36,Kiritimati,1.98,202.52,0.09,-0.1,0.1
37,Kiritimati,1.98,202.52,0.119,-0.1,0.1
38,Kiritimati,1.98,202.52,0.184,-0.1,0.1
39,Kiritimati,1.98,202.52,0.591,0,0.1
40,Kiritimati,1.98,202.52,0.607,-0.1,0.1
41,Kiritimati,1.98,202.52,0.61,0,0.1
42,Kiritimati,1.98,202.52,0.614,0,0.1
43,Kiritimati,1.98,202.52,0.644,0,0.1
44,Kiritimati,1.98,202.52,0.675,0,0.1
45,Kiritimati,1.98,202.52,0.723,0,0.1
46,Kiritimati,1.98,202.52,0.749,-0.1,0.1
47,Kiritimati,1.98,202.52,1.059,0,0.1
48,Kiritimati,1.98,202.52,1.123,0.1,0.1
49,Kiritimati,1.98,202.52,1.28,-0.1,0.1
50,Kiritimati,1.98,202.52,1.408,-0.3,0.1
51,Kiritimati,1.98,202.52,1.432,0,0.1
52,Kiritimati,1.98,202.52,1.467,0.2,0.1
53,Kiritimati,1.98,202.52,1.477,0.1,0.1
54,Kiritimati,1.98,202.52,1.49,0,0.1
55,Kiritimati,1.98,202.52,1.496,0,0.1
56,Kiritimati,1.98,202.52,1.54,0.1,0.1
57,Kiritimati,1.98,202.52,1.565,0.1,0.1
58,Kiritimati,1.98,202.52,1.571,0.2,0.1
