NEEM ion concentration data in 10 yr resolution,,,,,,
"Reference: Schüpbach et al., Greenland records of aerosol source and atmospheric lifetime changes from the Eemian to the Holocene, Nature Communications, 2018",,,,,,
"further reference: Rasmussen et al., A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Climate of the Past 9, 2713–2730, doi:10.5194/cp-9-2713-2013 (2013).",,,,,,
,,,,,,
NEEM continuous Methane Concentration Data,,,,,,
"Reference: Chappellaz et al., High resolution glacial and delacial record of atmospheric methane by continuous-flow and laser spectrometer analysis along the NEEM ice core.  EGU Climate of the Past, 2013.",,,,,,
,,,,,,
NEEM Ca2+ (dust),,,,NEEM Methane,,
ageGICC05_mid (yr BP),depth_mid (m),Ca (ng/g),,Age (b2k),Depth (m),RawMethaneMean (ppbv)
7189.9559,1136.1488,8.58,,9559.356,1334.8178,659.65
7199.9803,1137.1435,2.95,,9559.46,1334.823,659.65
7210.0262,1138.1108,4.98,,NaN,NaN,NaN
7220.0027,1139.0503,4.71,,9569.6392,1335.4391,647.77
7230.0787,1139.9760,5.06,,9572.4097,1335.6084,647.77
7239.9795,1140.9248,7.65,,9572.4097,1335.6084,656.51
7250.0161,1141.9010,4.51,,9575.1803,1335.7777,656.51
7259.8667,1142.9233,5.73,,9575.1803,1335.7777,653.97
7269.8433,1144.0278,NaN,,9577.9509,1335.947,653.97
7279.8830,1145.1353,6.29,,NaN,NaN,NaN
7289.7523,1146.1423,4.84,,9586.0247,1336.4404,644.79
7299.8762,1147.1428,4.05,,9588.7303,1336.619,644.79
7309.9301,1148.2348,NaN,,9588.7303,1336.619,642.68
7319.9055,1149.3530,NaN,,9591.3274,1336.7975,642.68
7329.8330,1150.3825,3.19,,NaN,NaN,NaN
7340.1523,1151.3205,5.46,,9594.1953,1336.9947,641.59
7350.2115,1152.2438,8.00,,9594.9855,1337.049,641.59
7359.9790,1153.1898,5.76,,NaN,NaN,NaN
7370.0726,1154.1845,5.12,,9606.4768,1337.576,638.3
7380.0271,1155.2250,10.07,,9610.0184,1337.766,638.3
7389.8395,1156.2273,NaN,,9610.0184,1337.766,640.71
7400.0395,1157.1518,6.59,,9613.4728,1337.956,640.71
7410.0429,1158.1020,7.29,,9613.4728,1337.956,640.41
7419.9347,1159.1163,9.52,,9616.9273,1338.146,640.41
7430.0926,1160.1335,10.27,,NaN,NaN,NaN
7440.1826,1161.1418,11.86,,9622.1577,1338.4652,648.41
7450.0024,1162.1503,11.30,,9625.356,1338.6606,648.41
7459.9254,1163.1768,2.99,,9625.356,1338.6606,653.43
7470.0929,1164.2170,9.70,,9628.8381,1338.8561,653.43
7480.1787,1165.2783,8.52,,9628.8381,1338.8561,650.79
7489.9597,1166.3805,7.77,,9632.3918,1339.0515,650.79
7499.6742,1167.4650,7.33,,9632.3918,1339.0515,650.2
7509.9162,1168.4718,6.56,,9635.9455,1339.247,650.2
7520.1929,1169.4245,10.13,,NaN,NaN,NaN
7530.2256,1170.3955,8.37,,9660.0125,1340.6563,654.81
7540.1090,1171.4173,9.81,,9663.2348,1340.8532,654.81
7549.9977,1172.4898,9.55,,9663.2348,1340.8532,655.72
7559.8936,1173.5718,5.57,,9666.4572,1341.0502,655.72
7569.7698,1174.5435,NaN,,9666.4572,1341.0502,653.63
7579.8105,1175.3560,NaN,,9669.6795,1341.2471,653.63
7590.2248,1176.1410,7.03,,9669.6795,1341.2471,649.35
7600.2928,1177.0520,6.72,,9672.9018,1341.444,649.35
7609.9134,1178.0415,7.74,,NaN,NaN,NaN
7619.9134,1178.9450,4.73,,9679.7611,1341.8219,652.31
7630.0032,1179.7830,7.99,,9680.5071,1341.8629,652.31
7640.1834,1180.6898,6.44,,NaN,NaN,NaN
7650.2113,1181.7325,5.62,,9683.61,1342.0373,651.11
7659.9230,1182.8440,9.57,,9687.0932,1342.2501,651.11
7669.8664,1183.8803,NaN,,9687.0932,1342.2501,653.41
7680.0699,1184.8248,8.12,,9690.5764,1342.463,653.41
7690.0192,1185.7150,2.26,,NaN,NaN,NaN
7700.0131,1186.5825,7.20,,9697.9505,1342.9136,653.98
7710.0028,1187.4503,6.21,,9700.9633,1343.0978,653.98
7719.9897,1188.3178,7.02,,NaN,NaN,NaN
7730.3826,1189.2933,6.87,,9705.2315,1343.3586,654.89
7740.3041,1190.4293,7.52,,9709.9182,1343.645,654.89
7749.8127,1191.5750,6.12,,NaN,NaN,NaN
7759.9072,1192.6615,6.60,,9724.6289,1344.4546,661.47
7770.0389,1193.7065,4.53,,9729.8364,1344.741,661.47
7779.7364,1194.6903,9.78,,NaN,NaN,NaN
7789.7599,1195.6883,9.44,,9736.8193,1345.1251,657.3
7799.9688,1196.7348,7.64,,9741.5825,1345.4088,657.3
7809.9790,1197.7398,5.09,,NaN,NaN,NaN
7819.8978,1198.6795,8.69,,9744.4342,1345.6049,658.35
7829.9220,1199.6193,9.85,,9747.8109,1345.837,658.35
7839.8903,1200.6275,6.66,,NaN,NaN,NaN
7849.8871,1201.6355,7.64,,9754.8762,1346.2282,653.84
7859.9159,1202.5520,12.96,,9756.5398,1346.3197,653.84
7870.0031,1203.4003,7.50,,NaN,NaN,NaN
7880.0873,1204.2483,NaN,,9759.8466,1346.5129,654.88
7889.9032,1205.1253,6.52,,9763.4233,1346.7314,654.88
7899.9605,1206.0025,6.76,,9763.4233,1346.7314,655.48
7909.9652,1206.8703,NaN,,9767,1346.95,655.48
7919.8611,1207.7280,6.82,,NaN,NaN,NaN
7930.0458,1208.5858,4.76,,9773.8758,1347.3702,659.93
7939.9796,1209.4863,8.08,,9777.4993,1347.5825,659.93
7949.9276,1210.4770,7.63,,9777.4993,1347.5825,662.75
7960.0199,1211.4808,9.24,,9781.3587,1347.7947,662.75
7969.9820,1212.4020,7.62,,9781.3587,1347.7947,662.43
7980.0882,1213.2775,10.06,,9785.2182,1348.007,662.43
7990.0061,1214.1255,7.51,,NaN,NaN,NaN
7999.9206,1214.9733,6.59,,9793.3964,1348.502,661.25
8009.9721,1215.8438,7.96,,9797.1273,1348.717,661.25
8019.8735,1216.6980,9.94,,9797.1273,1348.717,661.36
8029.8473,1217.5068,8.86,,9801.0364,1348.932,661.36
8040.0562,1218.3208,8.39,,9801.0364,1348.932,663.8
8050.0885,1219.2033,10.76,,9804.9455,1349.147,663.8
8059.8842,1220.0820,5.08,,NaN,NaN,NaN
8069.9722,1220.9150,4.82,,9815.5722,1349.735,662.69
8079.8893,1221.7253,7.10,,9818.9788,1349.9432,662.69
8089.8967,1222.5585,NaN,,9818.9788,1349.9432,663.39
8099.9160,1223.4238,9.22,,9822.3854,1350.1513,663.39
8109.8738,1224.2365,8.72,,NaN,NaN,NaN
8119.9474,1224.9975,9.14,,9830.8378,1350.6261,669.24
8130.0576,1225.7715,12.29,,9834.0693,1350.8038,669.24
8139.8900,1226.5705,8.95,,9834.0693,1350.8038,669.75
8149.8957,1227.3435,10.70,,9837.3007,1350.9815,669.75
8160.1140,1228.0668,9.09,,9837.3007,1350.9815,668.18
8170.0380,1228.7735,NaN,,9840.5322,1351.1593,668.18
8179.9151,1229.4765,11.60,,9840.5322,1351.1593,671.59
8189.8429,1230.1490,17.11,,9843.7636,1351.337,671.59
8200.0444,1230.7930,8.30,,NaN,NaN,NaN
8209.9574,1231.4983,11.99,,9851.9418,1351.7868,660.62
8219.8408,1232.2778,9.81,,9855.937,1352.0065,660.62
8229.9601,1233.0463,7.97,,9855.937,1352.0065,657.85
8240.2410,1233.8493,9.65,,9859.9321,1352.2263,657.85
8250.3242,1234.7623,7.11,,9859.9321,1352.2263,659.04
8260.0722,1235.7268,8.40,,9863.9273,1352.446,659.04
8269.8783,1236.6480,7.33,,NaN,NaN,NaN
8279.9206,1237.4905,9.33,,10017.0225,1360.4262,662.98
8289.9191,1238.2710,8.52,,10020.6942,1360.6282,662.98
8299.9693,1239.0223,7.24,,10020.6942,1360.6282,659.81
8310.1441,1239.7965,9.76,,10024.3658,1360.8301,659.81
8319.9693,1240.5905,6.07,,10024.3658,1360.8301,657.44
8329.9848,1241.3273,9.33,,10028.0375,1361.0321,657.44
8340.0108,1242.0440,11.88,,10028.0375,1361.0321,658.84
8349.8547,1242.8410,7.68,,10031.7091,1361.234,658.84
8360.0342,1243.6580,7.92,,NaN,NaN,NaN
8370.0115,1244.4120,10.97,,10038.0722,1361.584,652.49
8379.9867,1245.1755,5.20,,10041.5314,1361.7742,652.49
8389.8973,1245.9905,9.04,,10041.5314,1361.7742,654.68
8399.8707,1246.7863,6.18,,10044.9906,1361.9645,654.68
8409.9474,1247.5475,7.68,,10044.9906,1361.9645,655.22
8419.9859,1248.2988,8.72,,10048.4499,1362.1547,655.22
8430.0708,1249.0330,8.64,,10048.4499,1362.1547,655.51
8440.0836,1249.7475,8.35,,10051.9091,1362.345,655.51
8450.1277,1250.4988,7.20,,NaN,NaN,NaN
8459.9650,1251.2990,6.39,,10061.2616,1362.8594,663.24
8469.9965,1252.0748,7.26,,10065.6986,1363.0849,663.24
8480.0788,1252.8313,7.35,,NaN,NaN,NaN
8490.0014,1253.6073,7.08,,10070.5674,1363.3284,668.61
8499.9986,1254.3928,9.94,,10072.92,1363.446,668.61
8509.9212,1255.1688,8.33,,NaN,NaN,NaN
8520.0922,1255.9450,7.46,,10079.6516,1363.7826,662.58
8530.1271,1256.7123,5.74,,10081.734,1363.8867,662.58
8540.0959,1257.4203,7.74,,NaN,NaN,NaN
8550.1380,1258.1163,8.35,,10084.3369,1364.0232,665.38
8559.9995,1258.8518,7.59,,10086.9615,1364.2036,665.38
8570.0005,1259.5983,5.53,,NaN,NaN,NaN
8579.8620,1260.3338,6.90,,10088.9539,1364.3406,666.37
8589.9077,1261.0300,8.22,,10090.88,1364.473,666.37
8600.1105,1261.6893,6.21,,NaN,NaN,NaN
8610.1573,1262.3810,7.32,,10099.0805,1364.9394,664.84
8620.0278,1263.1600,6.26,,10102.2922,1365.1161,664.84
8629.9352,1263.9720,7.71,,10102.2922,1365.1161,662.14
8640.0027,1264.7645,6.75,,10105.5039,1365.2927,662.14
8649.9365,1265.5430,10.32,,10105.5039,1365.2927,664.47
8660.0173,1266.3015,6.36,,10108.7156,1365.4694,664.47
8670.0281,1267.0355,7.28,,10108.7156,1365.4694,666.4
8679.8793,1267.7625,10.76,,10111.9273,1365.646,666.4
8689.9343,1268.4893,7.72,,NaN,NaN,NaN
8700.0689,1269.2110,8.98,,10119.4048,1366.0202,664.43
8709.9894,1269.9263,8.18,,10123.0536,1366.2027,664.43
8720.0820,1270.5948,11.31,,10123.0536,1366.2027,666.51
8730.1615,1271.2545,7.64,,10126.7024,1366.3851,666.51
8739.9450,1271.9733,9.81,,10126.7024,1366.3851,668.08
8749.8793,1272.7125,8.98,,10130.3512,1366.5676,668.08
8760.0173,1273.4515,6.34,,10130.3512,1366.5676,669.35
8769.9720,1274.1700,8.69,,10134,1366.75,669.35
8779.8895,1274.8300,NaN,,NaN,NaN,NaN
8789.9347,1275.4865,10.49,,10138.8507,1367.0168,666.62
8800.0173,1276.2015,NaN,,10141.8719,1367.183,666.62
8810.0281,1276.9355,8.06,,10141.8719,1367.183,665.87
8820.0093,1277.6305,11.30,,10144.9824,1367.3491,665.87
8829.9179,1278.3005,9.68,,NaN,NaN,NaN
8839.9264,1278.9778,7.53,,10148.3314,1367.5166,664.49
8850.0728,1279.6533,7.40,,10151.4857,1367.6743,664.49
8859.9753,1280.3143,7.09,,10151.4857,1367.6743,669.4
8870.0395,1280.9528,9.17,,10154.64,1367.832,669.4
8879.9834,1281.6080,7.64,,NaN,NaN,NaN
8889.8451,1282.2985,7.67,,10163.1358,1368.2568,663.32
8899.9866,1282.9723,11.65,,10167.7239,1368.4862,663.32
8910.2390,1283.6750,9.09,,10167.7239,1368.4862,661.4
8919.9137,1284.4635,7.58,,10172.3119,1368.7156,661.4
8929.7105,1285.2335,8.51,,10172.3119,1368.7156,660.79
8939.8525,1285.9290,7.49,,10176.9,1368.945,660.79
8950.0324,1286.6205,8.03,,NaN,NaN,NaN
8960.0849,1287.3235,7.67,,10186.734,1369.4367,661.49
8969.9050,1288.0070,7.01,,10186.8248,1369.4412,661.49
8979.9762,1288.6920,8.45,,NaN,NaN,NaN
8989.8457,1289.4095,7.79,,10193.5296,1369.7534,664.45
8999.8429,1290.0990,7.25,,10200,1370.05,664.45
9009.9955,1290.7275,5.99,,NaN,NaN,NaN
9019.9977,1291.3388,10.04,,10207.8634,1370.4432,663.89
9030.0041,1291.9503,8.79,,10211.967,1370.6443,663.89
9040.0540,1292.5653,10.34,,NaN,NaN,NaN
9049.9808,1293.1953,12.46,,10218.2622,1370.9329,662.87
9059.9304,1293.8330,13.66,,10221.9527,1371.102,662.87
9070.0696,1294.4670,9.89,,NaN,NaN,NaN
9080.0714,1295.1203,8.53,,10227.0747,1371.3741,665.02
9090.0055,1295.7813,7.54,,10230.2624,1371.5494,665.02
9100.0540,1296.4153,9.48,,10230.2624,1371.5494,667.63
9110.0522,1297.0530,7.84,,10233.4951,1371.7248,667.63
9120.0036,1297.7253,8.11,,10233.4951,1371.7248,659.84
9129.9515,1298.3973,6.81,,10237.0016,1371.9001,659.84
9139.9501,1299.0350,7.13,,NaN,NaN,NaN
9150.0293,1299.6520,9.58,,10243.6606,1372.233,682.16
9159.9682,1300.2803,5.74,,10243.8,1372.24,682.16
9170.0096,1300.9275,5.63,,NaN,NaN,NaN
9180.0684,1301.5863,10.59,,10251.4994,1372.625,658.42
9189.9478,1302.2470,7.75,,10255.1141,1372.8052,658.42
9199.8964,1302.8598,7.50,,10255.1141,1372.8052,654.28
9210.0184,1303.4190,5.86,,10259.0469,1372.9855,654.28
9220.0515,1304.0080,9.21,,10259.0469,1372.9855,655.6
9230.0085,1304.6278,6.95,,10262.9798,1373.1657,655.6
9239.9916,1305.2223,7.45,,10262.9798,1373.1657,656.43
9249.9674,1305.7983,10.04,,10266.9127,1373.346,656.43
9260.0045,1306.3603,11.11,,NaN,NaN,NaN
9269.9955,1306.9098,5.50,,10274.6226,1373.7311,656.14
9280.0884,1307.4665,7.63,,10278.223,1373.9102,656.14
9290.0234,1308.0573,10.29,,NaN,NaN,NaN
9299.9304,1308.6830,7.61,,10284.5249,1374.1991,658.75
9310.0696,1309.3170,7.35,,10289.9127,1374.446,658.75
9320.0714,1309.9703,11.69,,NaN,NaN,NaN
9330.0036,1310.6503,7.05,,10297.3611,1374.7614,655.25
9339.8735,1311.3240,7.30,,10301.9499,1374.9556,655.25
9349.8762,1311.9498,7.57,,10301.9499,1374.9556,655.68
9360.0708,1312.5265,9.86,,10305.9943,1375.1497,655.68
9370.1391,1313.1133,7.74,,10305.9943,1375.1497,657.25
9380.0075,1313.7398,9.31,,10309.8772,1375.3439,657.25
9389.8877,1314.3595,7.48,,10309.8772,1375.3439,659.11
9399.9901,1314.9488,7.15,,10313.76,1375.538,659.11
9410.0376,1315.5418,8.85,,NaN,NaN,NaN
9419.9579,1316.1655,7.86,,10318.4308,1375.7715,666.2
9429.9066,1316.8028,8.89,,10322.8181,1375.9909,666.2
9440.0745,1317.4150,8.36,,10322.8181,1375.9909,656.31
9449.9895,1318.0135,8.18,,10327.4059,1376.2103,656.31
9459.8687,1318.6083,8.82,,10327.4059,1376.2103,653.53
9469.9498,1319.1693,10.08,,10332.192,1376.4296,653.53
9480.0703,1319.7053,6.86,,10332.192,1376.4296,651.73
9490.1251,1320.2613,8.46,,10336.9782,1376.649,651.73
9499.9382,1320.8465,8.73,,NaN,NaN,NaN
9510.0022,1321.4333,8.29,,10355.2504,1377.5323,659.2
9519.9563,1322.0035,8.24,,10359.6945,1377.736,659.2
9529.9536,1322.5495,8.47,,NaN,NaN,NaN
9540.1253,1323.0945,10.12,,10368.5742,1378.1787,675.91
9550.0622,1323.6728,11.66,,10373.3748,1378.4005,675.91
9560.0444,1324.2930,9.30,,10373.3748,1378.4005,673.05
9570.0508,1324.9198,7.29,,10378.6165,1378.6222,673.05
9579.9818,1325.5140,8.34,,10378.6165,1378.6222,677.09
9590.0014,1326.0928,10.96,,10383.8582,1378.844,677.09
9599.9871,1326.6720,8.79,,NaN,NaN,NaN
9609.9674,1327.2483,8.18,,10394.2873,1379.3215,672.94
9620.0091,1327.8105,10.93,,10398.8509,1379.5307,672.94
9630.0515,1328.3635,8.80,,10398.8509,1379.5307,672.76
9640.0488,1328.9348,8.10,,10403.4145,1379.7398,672.76
9650.0027,1329.5335,10.61,,10403.4145,1379.7398,675.63
9659.8785,1330.1308,8.37,,10407.9782,1379.949,675.63
9670.0027,1330.6975,7.77,,NaN,NaN,NaN
9680.1251,1331.2613,5.46,,10416.6404,1380.346,678.22
9689.9382,1331.8465,8.80,,10422.0199,1380.5926,678.22
9699.8853,1332.4168,9.81,,NaN,NaN,NaN
9710.0742,1332.9593,10.28,,10426.6674,1380.8056,678.33
9720.1262,1333.5195,9.02,,10431.8473,1381.043,678.33
9729.8865,1334.0970,10.07,,NaN,NaN,NaN
9740.0689,1334.6695,9.55,,10444.4642,1381.6232,677.12
9750.1311,1335.2658,7.99,,10447.9028,1381.7951,677.12
9759.9726,1335.9020,9.86,,10447.9028,1381.7951,676.87
9769.7621,1336.5483,9.28,,10451.3414,1381.9671,676.87
9779.7356,1337.1160,6.97,,10451.3414,1381.9671,673.59
9790.0470,1337.5848,6.64,,10454.78,1382.139,673.59
9800.0923,1338.0630,9.83,,NaN,NaN,NaN
9810.0417,1338.5928,8.34,,10464.6767,1382.5594,681.13
9820.0371,1339.1520,7.94,,10469.772,1382.7886,681.13
9829.9838,1339.7165,9.73,,10469.772,1382.7886,681.11
9840.0619,1340.2845,9.43,,10474.356,1383.0178,681.11
9850.1198,1340.8753,7.74,,10474.356,1383.0178,682.25
9860.0095,1341.4380,8.95,,10478.94,1383.247,682.25
9870.0302,1341.9618,7.83,,NaN,NaN,NaN
9880.0252,1342.4965,10.85,,10487.4828,1383.6741,678.89
9889.9778,1343.0338,7.91,,10492.2713,1383.8961,678.89
9899.9828,1343.5490,11.48,,10492.2713,1383.8961,679.04
9910.0587,1344.0593,9.65,,10497.5175,1384.118,679.04
9920.0076,1344.5805,8.46,,10497.5175,1384.118,679.71
9930.0731,1345.1133,9.57,,10502.7636,1384.34,679.71
9940.0116,1345.6585,9.42,,NaN,NaN,NaN
9949.8973,1346.1920,9.49,,10511.0175,1384.7175,689.61
9960.1321,1346.7143,10.16,,10512.346,1384.7784,689.61
9969.9478,1347.2465,8.91,,NaN,NaN,NaN
9979.9316,1347.7688,10.20,,10518.7117,1385.0701,677.42
9990.0069,1348.2748,8.50,,10522.8013,1385.2576,677.42
9999.9353,1348.7720,7.89,,10522.8013,1385.2576,675.69
10010.0443,1349.2588,8.63,,10526.8909,1385.445,675.69
10020.0100,1349.7505,10.86,,NaN,NaN,NaN
10030.0095,1350.2630,9.27,,10536.8393,1385.901,673.81
10040.0095,1350.7880,8.29,,10541.5087,1386.115,673.81
10050.0100,1351.3005,10.10,,10541.5087,1386.115,676.45
10060.0467,1351.8105,8.95,,10546.178,1386.329,676.45
10070.0074,1352.3330,6.72,,10546.178,1386.329,674.56
10079.9707,1352.8480,8.04,,10550.8473,1386.543,674.56
