Mean Depth ,CH4nNormalized,mean total air,ice age,gas age ,,Ca2+,CH4cNormalized,Top Depth ,Bottom Depth
1425.55,701.7130128,0.091353651,12007.36364,11460.09091,,135.2872727,697.2121688,1425.5,1425.6
1425.7,693.9905614,0.090064323,12014.54545,11463,,118.9133333,689.9778244,1425.66,1425.74
1425.83,706.7007827,0.089055654,12020.45455,11465.6,,103.0655556,703.1834376,1425.79,1425.87
1425.96,704.0899764,0.090705721,12026.36364,11468.2,,112.6044444,700.3170027,1425.92,1426
1426.1,707.6587434,0.090389681,12032.72727,11471,,81.48,704.9190933,1426.05,1426.15
1426.25,699.5398741,0.091955948,12039.18182,11473.81818,,90.73222222,696.5410938,1426.21,1426.29
1426.38,715.1153479,0.091657299,12044.61818,11476.18182,,87.20777778,712.2236621,1426.34,1426.42
1426.51,718.834693,0.090463899,12050.05455,11478.54545,,85.02444444,715.9782114,1426.47,1426.55
1426.65,712.8651467,0.088752484,12055.90909,11481.09091,,90.71818182,709.7586081,1426.6,1426.7
1426.8,721.9389935,0.091039583,12062.36364,11484,,119.39,717.95333,1426.76,1426.84
1426.93,721.7188863,0.090251249,12068.03636,11486.6,,87.86,718.7601865,1426.89,1426.97
1427.06,725.8835334,0.088384893,12073.70909,11489.2,,115.7344444,721.9038592,1427.02,1427.1
1427.2,716.0137877,0.093317024,12079.81818,11492,,105.74,712.5699605,1427.15,1427.25
1427.2,721.4789472,0.091732718,12079.81818,11492,,105.74,717.975642,1427.15,1427.25
1427.35,726.0525228,0.089295597,12086.54545,11495,,111.8755556,722.2447758,1427.31,1427.39
1427.48,725.0606172,0.088122294,12092.45455,11497.6,,79.83,722.3073823,1427.44,1427.52
1427.615,729.439299,0.089912161,12098.59091,11500.3,,101.2,726.0185201,1427.57,1427.66
1427.76,727.7726379,0.088740886,12105.18182,11503.2,,110.3766667,723.9924234,1427.72,1427.8
1427.9,735.2452111,0.090388506,12111.72727,11506,,98.32777778,731.9390353,1427.86,1427.94
1428.03,729.2838528,0.089759378,12117.87273,11508.6,,148.56,724.2536559,1427.99,1428.07
1428.16,738.111529,0.090069458,12124.01818,11511.2,,92.86666667,734.9779169,1428.12,1428.2
1428.3,738.8511174,0.089735961,12130.63636,11514,,78.19545455,736.2027519,1428.25,1428.35
1428.45,743.0532333,0.090046465,12137.90909,11516.81818,,88.98,740.0500028,1428.41,1428.49
1428.58,754.1603735,0.089110385,12144.29091,11519.18182,,118.5033333,750.1186633,1428.54,1428.62
1428.71,748.6756034,0.087284015,12150.67273,11521.54545,,104.69,745.0303022,1428.67,1428.75
1428.85,748.4544549,0.088085493,12157.54545,11524.09091,,146.0427273,743.4155232,1428.8,1428.9
1429,749.9663431,0.088255691,12165.27273,11527,,138.3144444,745.2032645,1428.96,1429.04
1429.13,750.0329064,0.0886249,12172.12727,11529.6,,109.85,746.2658057,1429.09,1429.17
1429.26,748.0278762,0.088323014,12178.98182,11532.2,,145.0388889,743.0370377,1429.22,1429.3
1429.4,744.6106716,0.089078781,12186.36364,11535,,109.2036364,740.8848182,1429.35,1429.45
1429.55,743.8242323,0.088656688,12193.54545,11538,,102.1111111,740.3237779,1429.51,1429.59
1429.68,745.7328078,0.08919083,12199.45455,11540.6,,107.3966667,742.0732086,1429.64,1429.72
1429.81,747.6459165,0.089447232,12205.36364,11543.2,,104.0133333,744.111766,1429.77,1429.85
1429.95,748.5683928,0.090632369,12211.72727,11546,,100.2763636,745.2057699,1429.9,1430
1430.09,758.2519675,0.089483544,12218.25455,11548.8,,112.4755556,754.4318396,1430.05,1430.13
1430.22,752.5392247,0.087199314,12224.4,11551.4,,136.3466667,747.7870283,1430.18,1430.26
1430.35,756.3117268,0.089256776,12230.54545,11554,,130.1933333,751.8785966,1430.31,1430.39
1430.48,756.2362482,0.089029166,12236.69091,11556.6,,153.4144444,750.9990758,1430.44,1430.52
1430.65,770.0960113,0.088975655,12244.72727,11560,,121.96,765.9301083,1430.61,1430.69
1430.78,758.5099159,0.090728691,12250.87273,11562.6,,113.9766667,754.6919307,1430.74,1430.82
1430.91,762.4866139,0.090021302,12257.01818,11565.2,,103.36,758.9970581,1430.87,1430.95
1431.05,768.9795173,0.089854421,12263.63636,11568,,127.3972727,764.6704467,1431,1431.1
1431.2,770.8914672,0.089603689,12270.54545,11571.36364,,112.5211111,767.0749164,1431.16,1431.24
1431.33,774.3197962,0.088891654,12276.45455,11574.43636,,132.7388889,769.7814239,1431.29,1431.37
