depth_m,age_ice_calBP,age_gas_calBP
76.445,205,0.4
76.64,206,1.4
76.822,207,2.4
77.041,208,3.4
77.266,209,4.4
77.481,210,5.3
77.683,211,6.3
77.951,212,7.3
78.195,213,8.3
78.457,214,9.2
78.748,215,10.2
78.982,216,11.2
79.183,217,12.2
79.403,218,13.1
79.714,219,14.1
79.911,220,15.1
80.158,221,16.1
80.484,222,17
80.698,223,18
80.94,224,19
81.114,225,20
81.363,226,20.9
81.542,227,21.9
81.818,228,22.9
82.072,229,23.9
82.271,230,24.9
82.494,231,25.9
82.785,232,26.9
83.007,233,27.9
83.199,234,28.8
83.447,235,29.8
83.626,236,30.8
83.845,237,31.8
84.142,238,32.8
84.356,239,33.8
84.597,240,34.8
84.855,241,35.7
85.033,242,36.7
85.333,243,37.7
85.494,244,38.7
85.688,245,39.7
85.958,246,40.7
86.215,247,41.6
86.484,248,42.6
86.725,249,43.6
86.904,250,44.6
87.107,251,45.6
87.335,252,46.6
87.554,253,47.5
87.79,254,48.5
88.021,255,49.5
88.334,256,50.5
88.565,257,51.5
88.763,258,52.4
89.019,259,53.4
89.25,260,54.4
89.493,261,55.4
89.679,262,56.4
89.9,263,57.3
90.094,264,58.3
90.337,265,59.3
90.6,266,60.3
90.822,267,61.3
91.03,268,62.2
91.248,269,63.2
91.386,270,64.2
91.623,271,65.2
91.817,272,66.2
92.075,273,67.2
92.302,274,68.2
92.516,275,69.2
92.745,276,70.2
92.954,277,71.2
93.212,278,72.2
93.364,279,73.3
93.613,280,74.3
93.846,281,75.3
94.103,282,76.3
94.312,283,77.4
94.558,284,78.4
94.768,285,79.4
95.058,286,80.5
95.245,287,81.6
95.484,288,82.7
95.745,289,83.7
96.1,290,84.9
96.346,291,86
96.53,292,87
96.808,293,88.1
97.058,294,89.2
97.235,295,90.2
97.493,296,91.3
97.844,297,92.5
98.11,298,93.6
98.322,299,94.6
98.588,300,95.7
98.812,301,96.8
99.154,302,97.9
99.421,303,99
99.684,304,100.1
99.931,305,101.2
100.159,306,102.3
100.36,307,103.4
100.558,308,104.5
100.77,309,105.6
101.009,310,106.6
101.265,311,107.7
101.468,312,108.8
101.672,313,109.9
101.951,314,111
102.253,315,112.1
102.465,316,113.2
102.714,317,114.3
103.03,318,115.3
103.227,319,116.4
103.437,320,117.4
103.605,321,118.5
103.863,322,119.6
104.12,323,120.6
104.333,324,121.7
104.594,325,122.8
104.833,326,123.8
105.018,327,124.9
105.273,328,125.9
105.55,329,127
105.831,330,128.1
106.067,331,129.1
106.298,332,130.2
106.491,333,131.2
106.745,334,132.3
106.973,335,133.3
107.253,336,134.4
107.458,337,135.5
107.722,338,136.5
107.938,339,137.6
108.177,340,138.7
108.485,341,139.8
108.683,342,140.8
108.865,343,141.9
109.041,344,142.9
109.331,345,144
109.599,346,145.1
109.827,347,146.2
110.031,348,147.2
110.235,349,148.3
110.438,350,149.4
110.679,351,150.5
110.893,352,151.5
111.096,353,152.6
111.387,354,153.7
111.665,355,154.8
111.961,356,155.8
112.14,357,156.9
112.418,358,157.9
112.742,359,159
112.991,360,160.1
113.224,361,161.1
113.44,362,162.2
113.709,363,163.2
113.935,364,164.3
114.235,365,165.3
114.528,366,166.4
114.769,367,167.5
114.921,368,168.5
115.119,369,169.6
115.33,370,170.6
115.537,371,171.7
115.785,372,172.7
116.011,373,173.8
116.181,374,174.8
116.372,375,175.9
116.601,376,176.9
116.904,377,177.9
117.187,378,179
117.361,379,180
117.579,380,181
117.815,381,182
118.11,382,183.1
118.284,383,184.1
118.508,384,185.1
118.848,385,186.2
119.033,386,187.2
119.168,387,188.2
119.409,388,189.3
119.693,389,190.4
119.913,390,191.4
120.155,391,192.5
120.381,392,193.5
120.672,393,194.6
120.899,394,195.7
121.083,395,196.7
121.338,396,197.8
121.587,397,198.8
121.849,398,199.9
122.068,399,200.9
122.359,400,202
122.586,401,203.1
122.848,402,204.1
123.095,403,205.2
123.28,404,206.2
123.5,405,207.3
123.725,406,208.3
123.987,407,209.4
124.219,408,210.4
124.427,409,211.5
124.632,410,212.5
124.875,411,213.5
125.106,412,214.6
125.353,413,215.6
125.646,414,216.7
125.947,415,217.7
126.14,416,218.7
126.368,417,219.8
126.584,418,220.8
126.815,419,221.8
127.018,420,222.8
127.276,421,223.8
127.469,422,224.9
127.692,423,225.9
127.962,424,226.9
128.159,425,227.9
128.348,426,228.9
128.618,427,229.9
128.83,428,230.9
129.05,429,231.9
129.295,430,232.8
129.507,431,233.8
129.812,432,234.8
130.013,433,235.8
130.201,434,236.8
130.44,435,237.8
130.695,436,238.7
130.897,437,239.7
131.09,438,240.7
131.325,439,241.7
131.563,440,242.7
131.787,441,243.6
132.003,442,244.6
132.243,443,245.6
132.417,444,246.6
132.571,445,247.6
132.729,446,248.6
133.014,447,249.6
133.258,448,250.6
133.432,449,251.6
133.64,450,252.6
133.898,451,253.6
134.087,452,254.6
134.341,453,255.6
134.588,454,256.6
134.78,455,257.6
135.027,456,258.6
135.269,457,259.6
135.489,458,260.6
135.763,459,261.6
135.975,460,262.6
136.252,461,263.6
136.557,462,264.6
136.793,463,265.6
137.144,464,266.6
137.398,465,267.6
137.606,466,268.6
137.803,467,269.7
138.119,468,270.7
138.383,469,271.7
138.611,470,272.7
138.846,471,273.7
139.046,472,274.7
139.227,473,275.7
139.439,474,276.7
139.577,475,277.7
139.739,476,278.7
139.962,477,279.7
140.151,478,280.7
140.351,479,281.6
140.567,480,282.6
140.834,481,283.6
141.026,482,284.5
141.319,483,285.5
141.488,484,286.5
141.78,485,287.4
142.003,486,288.4
142.22,487,289.3
142.469,488,290.3
142.72,489,291.2
142.902,490,292.2
143.125,491,293.1
143.322,492,294
143.477,493,295
143.778,494,295.9
144.021,495,296.9
144.17,496,297.8
144.412,497,298.8
144.598,498,299.8
144.86,499,300.7
145.045,500,301.7
145.318,501,302.7
145.476,502,303.6
145.761,503,304.6
145.916,504,305.6
146.081,505,306.5
146.339,506,307.5
146.567,507,308.5
146.878,508,309.4
147.167,509,310.4
147.319,510,311.4
147.497,511,312.4
147.743,512,313.3
147.92,513,314.3
148.206,514,315.3
148.409,515,316.2
148.69,516,317.2
148.906,517,318.2
149.057,518,319.2
149.284,519,320.2
149.488,520,321.2
149.746,521,322.3
150.009,522,323.3
150.197,523,324.3
150.409,524,325.3
150.706,525,326.3
150.968,526,327.3
151.138,527,328.3
151.415,528,329.4
151.581,529,330.4
151.827,530,331.5
152.047,531,332.5
152.275,532,333.5
152.617,533,334.6
152.779,534,335.6
153.065,535,336.7
153.228,536,337.7
153.462,537,338.8
153.732,538,339.9
153.932,539,340.9
154.167,540,342
154.429,541,343.1
154.672,542,344.1
154.938,543,345.2
155.208,544,346.3
155.464,545,347.3
155.76,546,348.4
156.069,547,349.4
156.373,548,350.5
156.597,549,351.5
156.747,550,352.6
156.951,551,353.6
157.195,552,354.7
157.487,553,355.7
157.692,554,356.7
157.915,555,357.8
158.119,556,358.8
158.373,557,359.8
158.677,558,360.9
158.89,559,361.9
159.12,560,362.9
159.402,561,364
159.603,562,365
159.857,563,366
160.058,564,367.1
160.188,565,368.1
160.393,566,369.1
160.616,567,370.1
160.778,568,371.1
161.013,569,372.1
161.279,570,373.1
161.433,571,374.1
161.669,572,375.1
161.925,573,376.1
162.067,574,377.1
162.36,575,378.1
162.568,576,379.1
162.796,577,380.1
163.056,578,381.1
163.368,579,382.1
163.568,580,383.1
163.814,581,384.1
164.107,582,385
164.315,583,386
164.619,584,387
164.778,585,388
165.024,586,389
165.221,587,390
165.4,588,391
165.595,589,392
165.857,590,393.1
166.107,591,394.1
166.254,592,395.1
166.504,593,396.1
166.712,594,397.1
166.909,595,398.1
167.063,596,399.1
167.333,597,400.1
167.56,598,401
167.826,599,402
168.023,600,403
168.347,601,404
168.666,602,405
168.809,603,406
168.994,604,406.9
169.209,605,407.9
169.429,606,408.9
169.664,607,409.9
169.861,608,410.9
170.15,609,411.9
170.296,610,412.9
