Mean Depth,Offset corected,ice age,gas age
2274.319,487.7770881,14984.3758,14705.93342
2275.319,487.6836832,14997.02871,14717.85147
2276.316,486.1184013,15009.54717,14730.22444
2277.314,486.0185577,15021.49701,14742.21851
2278.315,488.0343817,15033.69759,14754.53809
2279.316,483.9234248,15046.54145,14767.10977
2280.316,485.9377487,15059.64474,14779.54471
2281.424,486.0626891,15073.55014,14792.97039
2282.313,478.6610694,15085.18193,14804.13014
2284.312,470.7346319,15110.95238,14829.1946
2285.313,473.9302095,15122.93651,14841.17855
2286.312,471.9920694,15135.58894,14853.77483
2287.311,474.5570756,15147.7546,14866.14929
2288.311,478.0001131,15159.91505,14878.66787
2289.312,485.7469983,15173.04678,14891.58028
2290.31,485.3803379,15185.45012,14904.08595
2291.41,478.6132667,15198.6121,14917.78053
2292.31,476.9437836,15209.29929,14928.88074
2294.358,473.5957837,15234.1816,14954.85785
2295.308,470.4696094,15245.19641,14966.48245
2296.308,469.6852369,15257.14107,14979.18357
2297.307,466.1762117,15268.64198,14991.09469
2298.31,470.2470087,15281.42668,15004.14019
2299.308,461.9405026,15294.32466,15016.67293
2300.307,459.9124699,15306.84669,15028.74202
2301.366,456.4609508,15320.5773,15041.92317
2302.308,459.9526386,15332.22802,15053.81513
2304.3665,467.775392,15358.15981,15079.24164
2304.419,465.2842691,15358.77891,15079.83803
2305.308,470.3685551,15370.61435,15090.80362
2306.309,472.9302084,15384.83473,15104.11077
2307.306,471.8712987,15397.37755,15116.17707
2307.306,472.346978,15397.37755,15116.17707
2308.306,472.4545566,15410.4029,15128.4446
2309.306,462.5693574,15424.23689,15141.11431
2310.2575,462.2988236,15438.50296,15153.50465
2310.305,464.4476082,15439.24331,15154.14766
2311.32,465.1066645,15453.51147,15166.70541
2312.262,467.9211535,15467.01403,15178.89149
2312.307,467.9765568,15467.66022,15179.48766
2314.305,473.687127,15496.65036,15205.58149
2315.306,474.0517225,15510.27699,15218.31513
2316.306,474.1794735,15523.88752,15231.13753
2317.307,472.6710601,15538.58939,15244.65664
2318.306,474.3803259,15552.08671,15257.61782
2319.308,471.186117,15565.83043,15271.13044
2320.307,474.2613118,15579.06104,15284.46458
2321.308,470.8755617,15592.73427,15298.43933
2322.308,469.6535481,15606.512,15311.6944
2324.2625,473.2272252,15636.65018,15338.84585
2324.31,475.1192155,15637.39704,15339.52289
2325.51,475.1336721,15655.71702,15355.85381
2326.309,476.4933222,15668.4953,15367.34066
2327.311,474.6783809,15683.84761,15381.42402
2328.306,466.7671759,15698.97644,15395.90678
2328.311,469.1448775,15699.05276,15395.97984
2329.311,476.4019654,15713.98392,15410.55589
2330.31,467.3045258,15728.46139,15425.06569
2331.312,466.0332429,15742.91287,15439.72445
2332.313,463.8962643,15757.6177,15454.3212
2334.31,457.4232916,15790.70187,15484.24887
2335.311,457.2050105,15807.73047,15499.15497
2336.317,456.2303847,15824.28326,15514.41671
2337.257,458.0568151,15837.49426,15527.87108
2338.314,455.6406671,15852.33385,15543.84595
2339.314,452.5252344,15866.66629,15559.54824
2340.315,451.1075509,15880.68723,15575.02601
2341.317,452.9528644,15893.9393,15589.64521
2342.315,451.4038562,15908.84696,15605.50647
2344.311,450.4774217,15937.93649,15636.02032
2345.313,448.3617027,15953.95328,15651.46324
2346.311,447.912176,15971.76746,15667.38415
2347.32,448.9655757,15989.58144,15683.01594
2348.264,451.316824,16005.71216,15697.63274
2348.309,456.9887673,16006.46467,15698.33864
2349.2245,446.2222884,16021.44216,15712.37634
2349.31,457.6388951,16022.89152,15713.72386
2350.308,458.0881381,16039.83027,15729.4723
2351.31,457.7791306,16056.72768,15745.52357
2352.2615,453.7218687,16072.66264,15760.66668
2352.309,457.6695059,16073.4623,15761.42664
2354.305,456.821804,16107.00399,15793.54392
2355.308,452.7761745,16125.64946,15810.29658
2356.307,452.1613339,16142.46161,15825.75441
2358.077,448.2032783,16173.74911,15854.50421
2358.31,448.3806464,16177.60895,15858.14112
2359.2245,437.7130233,16193.60054,15872.06831
2359.31,449.6636368,16195.37153,15873.58846
2360.311,446.2667843,16217.1535,15890.55184
2361.267,439.8462366,16237.38442,15906.47668
2361.312,450.4394718,16238.3468,15907.23893
2362.2645,447.5083555,16256.49974,15922.96109
2362.312,447.4781418,16257.33147,15923.68762
2364.311,451.9936107,16295.24381,15958.4797
2365.311,461.8741854,16313.01475,15976.04056
2366.285,460.5559487,16331.61134,15993.90528
2366.31,461.2275463,16332.12194,15994.38301
2367.288,458.9545333,16351.04666,16012.25147
2367.313,463.6881428,16351.55692,16012.73637
2368.288,467.6825241,16369.1731,16029.48495
2368.313,466.3702436,16369.58164,16029.87353
2369.287,472.6107597,16390.17609,16048.96709
2369.312,473.140532,16390.7002,16049.4401
2370.503,481.8956901,16414.61913,16071.09182
2370.503,478.0830064,16414.61913,16071.09182
2371.289,477.4817641,16431.07095,16086.20759
2371.314,481.5040731,16431.59178,16086.68912
2372.27,471.8292009,16450.63732,16104.25828
2372.315,482.0997072,16451.59138,16105.13681
2374.293,446.7587468,16492.14561,16143.16195
2374.318,446.9887809,16492.71383,16143.69263
