Mean Depth,Offset corected,ice age,gas age
1955.301,668.9683984,11494.91186,11279.62233
1955.301,669.3773652,11494.91186,11279.62233
1957.309,672.122857,11510.62452,11297.52983
1959.313,700.756053,11526.03906,11314.91659
1961.315,706.7826485,11542.49404,11332.93683
1963.44,701.1405742,11560.37424,11351.84456
1965.313,708.4237075,11576.67537,11368.03682
1967.317,732.2723882,11594.08145,11385.30807
1969.316,741.3563213,11611.1194,11401.99058
1971.54,753.9921952,11631.67608,11421.55672
1975.32,754.333284,11666.45914,11454.16494
1977.317,707.4431094,11683.81731,11470.2593
1977.322,708.8726251,11683.86538,11470.30248
1979.32,679.4514675,11703.64407,11487.80934
1981.322,643.4700219,11723.65829,11504.46505
1983.428,612.2162025,11743.81197,11521.82002
1985.322,576.4793537,11762.64317,11538.49449
1987.323,525.0204017,11783.4644,11556.27224
1989.325,489.1712828,11804.4334,11574.85621
1991.327,483.6208159,11824.7619,11593.54903
1995.325,481.1475827,11866.40969,11631.77679
1995.33,486.5145289,11866.46476,11631.82526
1997.331,483.1294918,11889.22742,11651.82058
1999.545,478.5040054,11914.54335,11673.88113
1999.55,481.0554221,11914.60116,11673.93131
2001.334,479.67715,11934.85366,11691.91748
2003.425,475.3068184,11959.01442,11713.38322
2003.43,481.5019746,11959.07452,11713.4365
2005.326,481.2277167,11981.45811,11733.32374
2005.331,488.0914872,11981.51251,11733.37383
2007.33,490.4323552,12003.69359,11753.8251
2009.331,487.1527127,12026.36172,11774.96051
2011.332,479.3376982,12049.64371,11796.56604
2011.332,482.0521271,12049.64371,11796.56604
2015.316,483.1580953,12094.12477,11839.59704
2017.336,473.8835919,12115.42889,11860.95337
2019.335,481.1189453,12139.30205,11883.45396
2021.335,484.7854274,12161.58522,11905.17467
2023.438,494.0896529,12184.35432,11928.35432
2025.333,487.7616068,12205.72361,11949.40717
2025.338,484.9060597,12205.77802,11949.45739
2027.339,471.1072305,12230.84871,11972.10936
2029.335,470.525963,12253.75887,11993.75394
2031.334,480.2517312,12275.7783,12015.45749
2035.334,475.5664307,12319.9115,12059.24135
2037.334,465.3674259,12340.55614,12080.42033
2039.336,479.3938237,12362.29872,12101.98401
2041.291,486.0293476,12384.59184,12122.66655
2043.435,474.9074299,12410.36247,12146.23191
2045.332,470.5009123,12431.54913,12166.05362
2045.337,472.5364382,12431.60694,12166.10804
2047.332,466.2806474,12453.94995,12187.59866
2047.337,470.821285,12454.00435,12187.65166
2049.336,472.9527485,12475.43779,12209.247
2051.334,466.4367953,12496.49394,12231.22639
2055.335,466.269633,12541.12335,12274.592
2057.336,478.4938318,12564.30788,12296.50547
2059.331,491.3079865,12587.10383,12317.58895
2061.329,477.8646207,12610.48632,12340.13968
2063.325,472.9115895,12632.21209,12361.29888
2063.33,473.7643283,12632.2691,12361.35441
2065.328,470.4972358,12655.72228,12383.82197
2067.326,471.575109,12678.10286,12406.03266
2069.327,466.1272841,12700.2217,12427.80853
2071.329,463.7271883,12723.46591,12450.07032
2071.329,464.7941323,12723.46591,12450.07032
2075.331,461.334776,12765.93536,12493.21805
2077.447,461.5352204,12788.55006,12516.43673
2079.333,462.4509384,12808.89119,12537.24214
2081.334,465.1041242,12829.49395,12558.57839
2083.434,481.0896615,12851.53465,12581.40487
