GISP2 depth,[Ca2+] GISP2
(m),(ppb)
37.35,9.45
43.97,9.45
43.97,7.84
50.19,7.84
50.19,9.92
56.1,9.92
56.1,8.88
61.85,8.88
61.85,7.93
67.47,7.93
67.47,10.2
73.02,10.2
73.02,8.64
78.31,8.64
78.31,8.54
83.88,8.54
83.88,9.17
89.19,9.17
89.19,7.81
94.06,7.81
94.06,7.07
99.26,7.07
99.26,8.09
104.49,8.09
104.49,7.81
109.37,7.81
109.37,7.46
114.22,7.46
114.22,9.02
119.16,9.02
119.16,9.04
124.15,9.04
124.15,8.57
128.83,8.57
128.83,6.07
133.67,6.07
133.67,7.79
138.41,7.79
138.41,7.47
143.34,7.47
143.34,8.44
148.15,8.44
148.15,7.19
152.68,7.19
152.68,6.24
157.47,6.24
157.47,4.82
162.43,4.82
162.43,5.85
167.42,5.85
167.42,3.98
172.18,3.98
172.18,5.13
176.59,5.13
176.59,4.94
181.28,4.94
181.28,5.61
185.93,5.61
185.93,5.88
190.47,5.88
190.47,6.77
194.81,6.77
194.81,5.71
199.42,5.71
199.42,6.03
203.88,6.03
203.88,5.53
208.17,5.53
208.17,6.54
212.69,6.54
212.69,6.39
217.18,6.39
217.18,5.26
221.74,5.26
221.74,5.66
226.3,5.66
226.3,6.31
230.67,6.31
230.67,5.46
235.3,5.46
235.3,7.37
239.77,7.37
239.77,6.86
243.85,6.86
243.85,4.82
248.39,4.82
248.39,5.53
252.88,5.53
252.88,5.29
257.12,5.29
257.12,5.47
261.76,5.47
261.76,6.01
266.45,6.01
266.45,4.93
271.04,4.93
271.04,5.22
275.52,5.22
275.52,5.55
279.9,5.55
279.9,4.97
284.37,4.97
284.37,6.06
288.78,6.06
288.78,5.17
292.95,5.17
292.95,6.44
297.5,6.44
297.5,7.01
301.71,7.01
301.71,7.39
305.93,7.39
305.93,5.82
310.31,5.82
310.31,5.52
315.1,5.52
315.1,5.5
319.53,5.5
319.53,6.28
323.72,6.28
323.72,5.97
327.6,5.97
327.6,5.15
331.88,5.15
331.88,6.02
336.23,6.02
336.23,5.94
340.7,5.94
340.7,6.62
344.95,6.62
344.95,4.14
349.11,4.14
349.11,3.49
353.19,3.49
353.19,3.49
